ID,Paper,No,Cell,Type,Phase,Genl,Ion,Charge,Irmods,LET,E,alpha_x,beta_x,alpha_l,beta_l
13,furusawa00,81,HSG,n,a,6,12C,6,m,50,42.1,0.313,0.0615,1.137,0.0543
13,furusawa00,82,HSG,n,a,6,12C,6,m,54.5,37.8,0.313,0.0615,1.01,0.1312
13,furusawa00,83,HSG,n,a,6,12C,6,m,80.6,24.5,0.313,0.0615,1.449,0.0173
13,furusawa00,84,HSG,n,a,6,12C,6,m,88,21.9,0.313,0.0615,1.68,0.0096
13,furusawa00,85,HSG,n,a,6,12C,6,m,137,12.9,0.313,0.0615,1.9,0.0024
13,furusawa00,86,HSG,n,a,6,12C,6,m,144,12.2,0.313,0.0615,1.507,0
13,furusawa00,87,HSG,n,a,6,12C,6,m,147,11.8,0.313,0.0615,1.742,0.0018
13,furusawa00,88,HSG,n,a,6,12C,6,m,199,7.94,0.313,0.0615,1.712,0.0047
13,furusawa00,89,HSG,n,a,6,12C,6,m,247,5.84,0.313,0.0615,1.423,0
13,furusawa00,90,HSG,n,a,6,12C,6,m,267,5.32,0.313,0.0615,1.633,0
13,furusawa00,91,HSG,n,a,6,12C,6,m,333,3.88,0.313,0.0615,1.256,0.0012
13,furusawa00,92,HSG,n,a,6,12C,6,m,360,3.42,0.313,0.0615,1.245,0
13,furusawa00,93,HSG,n,a,6,12C,6,m,467,2.22,0.313,0.0615,1.075,0
13,furusawa00,94,HSG,n,a,6,12C,6,m,493,1.98,0.313,0.0615,1.035,0.001
13,furusawa00,95,HSG,n,a,6,12C,6,m,502,1.92,0.313,0.0615,0.923,0
13,furusawa00,96,HSG,n,a,6,20Ne,10,m,62,130,0.313,0.0615,0.739,0.0782
13,furusawa00,97,HSG,n,a,6,20Ne,10,m,72,103,0.313,0.0615,1.201,0.1009
13,furusawa00,98,HSG,n,a,6,20Ne,10,m,74.2,96.7,0.313,0.0615,1.135,0.1237
13,furusawa00,99,HSG,n,a,6,20Ne,10,m,77,88.7,0.313,0.0615,0.927,0.4054
13,furusawa00,100,HSG,n,a,6,20Ne,10,m,82,81.3,0.313,0.0615,1.735,0.0279
13,furusawa00,101,HSG,n,a,6,20Ne,10,m,83.7,79.3,0.313,0.0615,1.516,0.0743
13,furusawa00,102,HSG,n,a,6,20Ne,10,m,103,62.2,0.313,0.0615,2,0.002
13,furusawa00,103,HSG,n,a,6,20Ne,10,m,116,54.4,0.313,0.0615,1.878,0
13,furusawa00,104,HSG,n,a,6,20Ne,10,m,166,33.8,0.313,0.0615,1.947,0.0037
13,furusawa00,105,HSG,n,a,6,20Ne,10,m,169,33.2,0.313,0.0615,2.009,0
13,furusawa00,106,HSG,n,a,6,20Ne,10,m,216,25.1,0.313,0.0615,1.849,0
13,furusawa00,107,HSG,n,a,6,20Ne,10,m,339,14.3,0.313,0.0615,1.253,0
13,furusawa00,108,HSG,n,a,6,20Ne,10,m,287,17.5,0.313,0.0615,1.338,0.0004
