Cell,Type,Phase,Genl,Ion,Charge,Irmods,LET,E,RBE
Colo679,t,a,6.0,12C,6,s,50.0,43.4,0.6239
HMV-I,t,a,6.0,12C,6,s,50.0,43.4,0.5855
HMV-II,t,a,6.0,12C,6,s,50.0,43.4,0.5671
92-1,t,a,6.0,12C,6,s,50.0,43.4,0.7129
MeWo,t,a,6.0,12C,6,s,50.0,43.4,0.6502
CHO,n,a,5.6,12C,6,m,20.0,144.0,1.8586
CHO,n,a,5.6,12C,6,m,60.0,35.0,2.302
CHO,n,a,5.6,12C,6,m,82.0,23.5,2.7732
CHO,n,a,5.6,12C,6,m,99.0,18.7,2.8563
CHO,n,a,5.6,20Ne,10,m,102.0,64.0,3.0504
CHO,n,a,5.6,20Ne,10,m,120.0,52.0,3.0781
CHO,n,a,5.6,20Ne,10,m,171.0,34.0,3.6602
CHO,n,a,5.6,20Ne,10,m,228.0,23.4,3.4107
CHO,n,a,5.6,20Ne,10,m,341.0,14.0,2.8563
CHO,n,a,5.6,40Ar,18,m,341.0,105.7,0.8339
CHO,n,a,5.6,56Fe,26,m,780.0,55.0,1.3321
CHO,n,a,5.6,56Fe,26,m,1200.0,28.0,1.0552
CHO,n,a,5.6,56Fe,26,m,2000.0,13.0,0.8062
HTh7,t,a,6.0,4He,2,s,40.0,3.82,1.4598
B16,t,a,5.6,4He,2,s,40.0,3.82,2.403
IGR,t,a,6.0,4He,2,s,40.0,3.82,1.7436
V79,n,a,5.6,4He,2,s,40.0,3.82,1.7966
V79,n,a,5.6,14N,7,m,125.0,20.3,3.1898
LS-174T,t,a,6.0,4He,2,s,40.0,3.82,1.6898
LS-174T,t,a,6.0,14N,7,m,125.0,20.3,3.2283
U-343MG,t,a,6.0,4He,2,s,40.0,3.82,1.8478
U-343MG,t,a,6.0,14N,7,m,125.0,20.3,4.9778
DU-145,t,a,6.0,4He,2,s,40.0,3.82,2.1023
CHO,n,a,5.6,12C,6,m,70.0,28.5,1.8477
CHO,n,a,5.6,56Fe,26,m,200.0,430.0,3.3602
Xrs,n,a,5.6,12C,6,m,70.0,28.5,1.2138
Xrs,n,a,5.6,56Fe,26,m,200.0,430.0,1.4311
Ku80,n,a,5.6,12C,6,m,70.0,28.5,2.4141
Ku80,n,a,5.6,56Fe,26,m,200.0,430.0,4.0529
HFLIII,n,a,6.0,12C,6,m,70.0,28.5,1.8597
HFLIII,n,a,6.0,56Fe,26,m,200.0,430.0,2.6354
180BR,n,a,6.0,12C,6,m,70.0,28.5,0.9299
180BR,n,a,6.0,56Fe,26,m,200.0,430.0,1.7022
NB1RGB,n,a,6.0,12C,6,m,20.0,144.0,1.2907
NB1RGB,n,a,6.0,12C,6,m,40.0,57.0,1.4747
NB1RGB,n,a,6.0,12C,6,m,80.0,24.0,2.2359
U87MG,t,a,6.0,12C,6,m,20.0,144.0,1.4141
U87MG,t,a,6.0,12C,6,m,40.0,57.0,1.6829
U87MG,t,a,6.0,12C,6,m,80.0,24.0,2.1563
TK1,t,a,6.0,12C,6,m,20.0,144.0,1.7113
TK1,t,a,6.0,12C,6,m,40.0,57.0,2.0887
TK1,t,a,6.0,12C,6,m,80.0,24.0,3.4961
ChangHL,n,a,6.0,7Li,3,m,55.0,7.0,1.9016
ChangHL,n,a,6.0,12C,6,m,220.0,7.0,2.0347
ChangHL,n,a,6.0,40Ar,18,m,1940.0,5.3,0.4822
M3-1,n,a,5.6,7Li,3,m,55.0,7.0,2.32
M3-1,n,a,5.6,11B,5,m,165.0,6.3,2.4236
M3-1,n,a,5.6,12C,6,m,220.0,7.0,2.394
M3-1,n,a,5.6,14N,7,m,350.0,5.7,2.1442
M3-1,n,a,5.6,16O,8,m,385.0,7.0,1.9748
M3-1,n,a,5.6,20Ne,10,m,580.0,7.0,1.7187
M3-1,n,a,5.6,40Ar,18,m,1940.0,5.3,0.682
V79,n,a,5.6,4He,2,m,106.0,1.3,4.9506
A172,t,a,6.0,12C,6,s,70.0,28.5,1.7991
A172,t,a,6.0,4He,2,s,156.0,0.51,1.2127
A172neo,t,a,6.0,12C,6,s,70.0,28.5,1.7653
A172neo,t,a,6.0,4He,2,s,156.0,0.51,1.1634
A172mp53,t,a,6.0,12C,6,s,70.0,28.5,2.0274
A172mp53,t,a,6.0,4He,2,s,156.0,0.51,1.3523
TG98G,t,a,6.0,12C,6,s,70.0,28.5,1.9121
TG98G,t,a,6.0,4He,2,s,156.0,0.51,1.3311
H1299wtp53,t,a,6.0,12C,6,m,30.0,83.0,1.301
H1299wtp53,t,a,6.0,12C,6,m,70.0,28.5,1.7193
H1299wtp53,t,a,6.0,12C,6,m,100.0,18.5,2.3036
H1299tp53,t,a,6.0,12C,6,m,30.0,83.0,1.6237
H1299tp53,t,a,6.0,12C,6,m,70.0,28.5,2.4618
H1299tp53,t,a,6.0,12C,6,m,100.0,18.5,3.2839
H1299tp53-null,t,a,6.0,12C,6,m,30.0,83.0,1.7755
H1299tp53-null,t,a,6.0,12C,6,m,70.0,28.5,2.8642
H1299tp53-null,t,a,6.0,12C,6,m,100.0,18.5,3.6085
OCUB-M,t,a,6.0,12C,6,s,80.0,24.0,2.8421
